segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,seg_length_m,canal_type,label,canal_type_encoded,pre_NDVI,pre_LSWI,pre_NDWI,base_NDVI,base_LSWI,base_NDWI,NDVI_anomaly,LSWI_anomaly,NDWI_anomaly,S1_VV,S1_VH,S1_ratio,S1_flood_proxy,S1_SMI,slope,aspect,TWI,smap_sm_mean,smap_sm_max,smap_sm_anom,era5_sm_l1,era5_sm_l2,era5_sm_l3,sm_days_above_fc,sm_l2_anom,clay_pct,encroachment_pct,rain_1d,rain_3d,rain_7d,rain_30d,rain_1d_anom,rain_30d_anom,gauge_level_m,gauge_level_anom,gauge_discharge,Q_ratio,apwrims_sm_5cm,apwrims_sm_30cm,apwrims_sm_100cm,apwrims_sm_150cm,OT_risk,SP_risk,SL_risk,V_score_physical,cv_group,V_score_ml,V_score_final,alert_tier
control_Rayalacheruvu_004,control_Rayalacheruvu,none,Tirupati,13.460000079168122,79.88224159621734,200.0,piping_saturation,0,0,0.7301321899986647,0.3354505945264918,-0.5959438788998113,0.6246329773505788,0.2576377393539644,-0.5237174263977681,-0.0494477882876397,0.01892768570729,0.0206857343847617,-6.247837860995102,-13.079287380708063,6.831449519712967,0.0364503584020493,0.3928175866714865,19.092023937996675,63.817521828706006,1.106400589647315,0.2807034247686685,0.3075999182022543,-0.0292608546007142,0.1932213551250401,0.2010945484718836,0.2054040888423821,5.0,-0.0180770591079496,26.375888883756005,0.314808930346818,2.883516073048048,10.445338486781514,19.946402202747617,97.7784492672356,0.3470046626553928,18.61021229056552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09482235996906987,0.3232339791726417,0.6900145294676149,0.3235644690649563,Rayalacheruvu,0.018467983,0.17101622614795237,GREEN
control_Rayalacheruvu_005,control_Rayalacheruvu,none,Tirupati,13.460000079168122,79.88224159621734,200.0,piping_saturation,0,0,0.7301321899986647,0.3354505945264918,-0.5959438788998113,0.6246329773505788,0.2576377393539644,-0.5237174263977681,0.0348913824266083,0.0133037712698923,-0.0264015080251044,-6.247837860995102,-13.079287380708063,6.831449519712967,0.0128034161380661,0.2101083973846078,19.092023937996675,63.817521828706006,1.106400589647315,0.2510982321715662,0.3125183322026747,0.0010724324836644,0.231004597708417,0.2621048919803428,0.2083328955097169,9.0,0.0283027257233462,26.375888883756005,0.4421325779371574,1.0753971856328175,3.158690595251297,22.26206851751187,103.63086887792906,-0.6764079005894033,-17.457665988559054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06946002936829807,0.3724517813423987,0.6822263608630833,0.3286987254329296,Rayalacheruvu,0.01903935,0.17386903753170233,GREEN
control_Rayalacheruvu_006,control_Rayalacheruvu,none,Tirupati,13.46000016603974,79.88593648317715,200.0,piping_saturation,0,0,0.7614872581428979,0.3565153434460644,-0.6258120121946862,0.7071830632527284,0.3146097253031726,-0.5734779723305948,-0.0338778712745995,0.0257818591405543,0.0308120379564417,-7.210317192353451,-14.16231699963829,6.951999807284828,0.0316701878255211,0.4178651475469294,13.057585716387894,117.8406827880512,1.63144777087192,0.2895516086426127,0.2939331454405876,-0.0076907834505527,0.2231872873041338,0.2142142857314338,0.2365712142334788,11.0,-0.0126149128251739,26.366935322433136,0.4607344153798229,0.332672462435494,6.393365018657701,9.034384046707924,122.70345169714636,-0.098519107271553,2.531022879055346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07615544983502477,0.3888937909457479,0.6802644089474776,0.33664110900189104,Rayalacheruvu,0.018168114,0.17740461156380982,GREEN
control_Rayalacheruvu_007,control_Rayalacheruvu,none,Tirupati,13.460000129391764,79.8840890391447,200.0,piping_saturation,0,0,0.75233505564358,0.3417101947411521,-0.6188199291731301,0.70937390009294,0.299046412893544,-0.5892348196160014,-0.0015170028641016,0.0115461619734162,-0.0230587666201478,-7.10676306119192,-13.82004566551606,6.713282604324144,0.0122062761123887,0.2420727605432326,15.80154019718448,146.5487810859862,1.3533987854309713,0.2310051924527676,0.3027935162541942,-0.020102454796162,0.2454411812737994,0.260251140827944,0.1804171278318714,12.0,0.0020453651625265,26.37469165268004,0.343752843914614,0.5597101766581075,10.925589984899778,15.786844838313014,116.52081086148438,1.584365199693973,-7.279861001125445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07436858036724374,0.36213524020852045,0.6466261295494716,0.31815129860724756,Rayalacheruvu,0.01945753,0.16880441441876565,GREEN
control_Rayalacheruvu_008,control_Rayalacheruvu,none,Tirupati,13.45749099324573,79.90000000730683,200.0,piping_saturation,0,0,0.7470086774243486,0.3187624086046018,-0.6305497345867157,0.6770216131679911,0.2975127060344092,-0.5624770110977562,0.0408265885966653,-0.0156262865599816,-0.0355105127908776,-7.5717258297926335,-14.541988792496682,6.970262962704051,0.0244726380138781,0.4464126135276501,10.750098154691797,171.1738319591676,1.7932375530306657,0.2912270589924442,0.29480869299534,0.0198418339534259,0.2013424811420228,0.2683630469082857,0.2046622207990938,11.0,-0.0132812121458033,26.4665221261014,0.3484110543023,1.6743060060520234,6.038361710580408,6.297844942179632,77.77407897540414,-1.0124957486455952,7.852170913591536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06724558472941168,0.41814744705500095,0.59512384814775,0.3220308023979525,Rayalacheruvu,0.08405838,0.20304459200751088,GREEN
control_Rayalacheruvu_009,control_Rayalacheruvu,none,Tirupati,13.449536870142172,79.88000001691596,200.0,piping_saturation,0,0,0.6831814231417017,0.3258594914206288,-0.5608821803112458,0.6873035195435694,0.3023466107469958,-0.5715661260972703,-0.0174041094798115,-0.0167855371460671,0.0211149532438017,-8.01956139821776,-14.666137606407853,6.646576208190094,0.0404750523069857,0.2871664968229324,13.11588088112643,216.2626208114605,1.5385900936488657,0.2833529710760895,0.3335774684074759,-0.0436797160961914,0.246824199647139,0.2224546045480215,0.1911911106239912,17.0,0.0215015282888231,26.28631703433597,0.3192353102182841,2.0164066422176354,9.616196153287175,9.752750879847994,110.97514440283015,-0.5288674691229871,5.292233223743178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08643953721097435,0.3838427054609703,0.6222692068930213,0.3244880635189847,Rayalacheruvu,0.01945753,0.1719727968746342,GREEN
control_Rayalacheruvu_010,control_Rayalacheruvu,none,Tirupati,13.447728719032112,79.88000001607772,200.0,piping_saturation,0,0,0.6743260398973966,0.342150853965959,-0.5452142983624576,0.6721979466042733,0.3116966839894156,-0.5506590778583793,-0.0258147709099548,-0.024413833931646,0.0397215757953326,-9.102256645396832,-15.1926827695211,6.0904261241242645,0.0450209028581665,0.3582753643183169,11.497006869479884,276.4320902845927,1.7376119550239308,0.2409071620737713,0.3341447973827566,-0.0012950920458442,0.1982840017437839,0.2122468448967155,0.2389301005997661,8.0,0.0017790347013603,26.29228736591512,0.3678059582097401,2.821569793468812,5.975720210875223,15.355027010549602,118.63970741351297,0.7027604681571229,9.408644769630886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09099169987509886,0.30633626424205584,0.6379055471064718,0.30309075921137707,Rayalacheruvu,0.019141907,0.16111633304188439,GREEN
control_Rayalacheruvu_011,control_Rayalacheruvu,none,Tirupati,13.460000194529544,79.89147882188476,200.0,piping_saturation,0,0,0.7700109247496257,0.3469602930078425,-0.6357059356186465,0.3738271106350392,0.2467910935944027,-0.3020694603975277,-0.0216079025262534,-0.0116781683793363,-0.0014386246413773,-7.533667687033865,-14.10230255554418,6.568634868510316,0.0224212071493123,0.4486143656527052,16.865067686874625,205.53825779870516,1.2607559280654943,0.2284139964995049,0.2961628714094614,0.0128987931968955,0.2285143247727672,0.2006437936131641,0.1860882925719619,7.0,0.028419830205319,26.37186305698156,0.335185050535469,1.047628723837983,9.259556788702394,22.942205199051543,122.0960496985582,1.1195021834304957,5.6812658461715095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08337052240678,0.3125021399548929,0.6608303552073845,0.30793154674877066,Rayalacheruvu,0.048263367,0.17809745700711677,GREEN
control_Rayalacheruvu_012,control_Rayalacheruvu,none,Tirupati,13.460000079168122,79.88224159621734,200.0,piping_saturation,0,0,0.7301321899986647,0.3354505945264918,-0.5959438788998113,0.6246329773505788,0.2576377393539644,-0.5237174263977681,0.0392046555177113,0.0078683175598357,0.0294811303541648,-6.247837860995102,-13.079287380708063,6.831449519712967,0.0251318546552596,0.3442259711565898,19.092023937996675,63.817521828706006,1.106400589647315,0.2508060791852389,0.3342540230554899,-0.0143830146212868,0.2309066094548716,0.2175323273023909,0.2153922508536326,10.0,-0.0064141365199943,26.375888883756005,0.3985035387637727,0.0542260908465626,6.938937151834346,8.576454184426577,85.6528149208002,0.9766820922262492,8.837596970085173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07389838855369515,0.33166822100153465,0.6692146285152771,0.31294688990083447,Rayalacheruvu,0.018467983,0.16570743656589146,GREEN
control_Rayalacheruvu_013,control_Rayalacheruvu,none,Tirupati,13.46000018911204,79.88778392831267,200.0,piping_saturation,0,0,0.7597043072847788,0.3495168932071678,-0.6185623008502208,0.7357236834377878,0.2954853880305804,-0.60104451103406,0.0072292469170838,0.0288198950229627,-0.0424653743993871,-7.632135771691722,-14.448925952969676,6.816790181277945,0.015284850964359,0.2477277577875865,12.041251778093889,128.01240986903423,1.6603497804011018,0.3140458584352914,0.3753928577002587,0.0140405073154313,0.2096126960204355,0.2010819631570207,0.2356991137552635,5.0,0.0031658980101293,26.366165605723246,0.3536949713780313,0.5857289633941335,9.224521152615054,10.615447248817116,61.70211765020177,0.5818891836286713,-12.915572823718042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06749186740663768,0.34852867871234827,0.6171719680907392,0.3032747765346617,Rayalacheruvu,0.04515294,0.17421385819535706,GREEN
control_Rayalacheruvu_014,control_Rayalacheruvu,none,Tirupati,13.452066507587492,79.90000001593866,200.0,piping_saturation,0,0,0.7622689297486273,0.3432650695164697,-0.6385503479278078,0.7046661427266313,0.3140158927089233,-0.5741117347860091,0.0202484083987109,-0.0084305309268146,-0.0206408155735506,-7.176340971167394,-14.0240977126059,6.847756741438507,0.0404680577739256,0.4025283486697952,10.937822054276882,163.31093880355303,1.7579070225755749,0.240891871761536,0.347114351682405,-0.0248947253092685,0.2003330919255791,0.2206703411893257,0.199353045854316,12.0,0.011820944459716,26.51826415814871,0.4734144637160207,1.4558396228289472,5.726868670940493,12.893829336189444,119.0949198508418,1.7200673392433274,-17.183354766018244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763280950554021,0.35024141185465324,0.634255748837061,0.3116796693805547,Rayalacheruvu,0.018467983,0.16507382630575157,GREEN
control_Rayalacheruvu_015,control_Rayalacheruvu,none,Tirupati,13.444112416049135,79.88000001107586,200.0,piping_saturation,0,0,0.6482165634987402,0.2594562345461887,-0.5414944114240297,0.5728823124806074,0.2271174086065459,-0.4804211514272741,-0.0344958383272255,0.0289104532986318,0.0338933502069363,-8.88631791816714,-14.858177095675604,5.971859177508464,0.0430202309155837,0.262562840128966,7.637870983566344,227.68108903605597,2.159806756980408,0.2995792669436101,0.3690005341817566,-0.0263403390203924,0.2100466362111955,0.2065787357888608,0.2146968084597704,10.0,-0.010310839951516,26.320511596537187,0.3077669468858846,2.739721657669414,7.113423988609378,15.030325893743992,115.88066252767426,0.5998557231110606,8.078675090308135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0907304229401295,0.3177082882656118,0.6166559627128207,0.3016540607472211,Rayalacheruvu,0.01945753,0.16055579548875243,GREEN
control_Rayalacheruvu_016,control_Rayalacheruvu,none,Tirupati,13.440000173794695,79.88646551383519,200.0,piping_saturation,0,0,0.7234775060454282,0.3067223174567502,-0.5988199532431069,0.45741999193464,0.2043995191049331,-0.3751825252612636,0.0214595104179952,-0.0275359489939274,-0.0101179098555205,-6.7772044615445,-13.890148611558145,7.112944150013647,0.0216760368790371,0.3860106607497788,12.303468917128702,153.38741965556156,1.639368274598111,0.2657265161613729,0.3642023075011981,-0.0363933976203588,0.2129083124045342,0.2489658547537035,0.188301185545068,17.0,0.0281722120268495,26.384666083549952,0.3501721054693322,0.9097965440196684,7.370824271966555,11.533024835920818,117.9508302651312,-0.9138283367210324,18.61007321563079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07249239049084662,0.4024464080437458,0.6115801265037495,0.32274823063758706,Rayalacheruvu,0.018467983,0.17060810693426776,GREEN
control_Rayalacheruvu_017,control_Rayalacheruvu,none,Tirupati,13.448450182542496,79.90000001624959,200.0,piping_saturation,0,0,0.7388801186592796,0.3474339149711991,-0.5976692668576105,0.7321474354627188,0.3264697506738366,-0.5983275516692435,0.00543540525114,0.0067032447740611,-0.008039993757221,-7.876269703045237,-14.899213454523132,7.022943751477883,0.0123865494750578,0.2889931696628154,8.672356288012562,208.86467529919568,2.0022926002742483,0.2642352229731104,0.3039787359157403,-0.0434288696943095,0.1946292797685845,0.2654229798137797,0.218296235630601,17.0,0.0142738150017461,26.514408729315463,0.4515692220928738,0.5530010229941101,2.8087296661719767,13.566289498802156,108.19499305357564,-1.7672256179662256,16.608549105059218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06469865349500757,0.4296880349731587,0.6291486934985726,0.33355744701325174,Rayalacheruvu,0.018467983,0.1760127151221001,GREEN
control_Rayalacheruvu_018,control_Rayalacheruvu,none,Tirupati,13.445920567667756,79.88000001413101,200.0,piping_saturation,0,0,0.7216906231124463,0.3382227627343008,-0.588850971675686,0.6060791513058957,0.2957321473638861,-0.4974653729610191,0.0449145731591385,0.0232008232378828,-0.0239106376658286,-9.661409595964429,-15.762337664949191,6.100928068984773,0.0007652270145192,0.4333590770198707,13.23600686779495,248.64096149129264,1.4763597717016337,0.2674173829087325,0.2897834160651001,-0.0155868887418217,0.2178777416624452,0.212124130893701,0.2060310989542783,11.0,-0.0271164645481779,26.301589794761863,0.4002079767830518,0.0431804658892676,3.1607264050691626,5.920052840435055,62.85101616232791,1.4218423360440289,8.146314375200948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05404839776904829,0.354782252847247,0.6051483640190152,0.29708023860890953,Rayalacheruvu,0.01945753,0.15826888441959663,GREEN
control_Rayalacheruvu_019,control_Rayalacheruvu,none,Tirupati,13.45315317159927,79.880000015267,200.0,piping_saturation,0,0,0.6393713934680162,0.3046601649995413,-0.5249404037853537,0.6352863008062778,0.2790560921655325,-0.5273710069049969,-0.0113897362199225,0.0276714338294348,0.0405350641956063,-7.98550124210473,-14.378730033944928,6.393228791840207,0.0097895567394648,0.2173403252187913,14.36132103248601,119.7061046226322,1.5054174805491212,0.2836403597446011,0.3600949294682399,-0.0025982160331912,0.2258693633337546,0.2089950247263737,0.2286722506041602,15.0,0.0264878885265915,26.301583244280334,0.3201556002754853,1.6181323452001877,8.83963769398141,17.31702328779828,126.072412319253,1.7770063885006695,14.68795734220015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08322499608892313,0.3597020380793589,0.6405806328887761,0.3193308699855389,Rayalacheruvu,0.019141907,0.1692363884289653,GREEN
