segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,seg_length_m,pre_NDVI,pre_LSWI,pre_NDWI,pre_slope,pre_aspect,pre_TWI,base_NDVI,base_LSWI,base_NDWI,NDVI_anomaly,LSWI_anomaly,NDWI_anomaly,S1_VV,S1_VH,S1_ratio,S1_flood_proxy,rain_1d,rain_3d,rain_7d,rain_30d,rain_1d_anom,rain_30d_anom,canal_type_encoded,label,OT_risk,SP_risk,SL_risk,V_score_physical,cv_group,V_score_ml,V_score_final,alert_tier
Budameru_Krishna_0024,Budameru_Krishna,overtopping,Krishna,16.62494336098033,80.55472361081476,200.0,0.3096183434833686,0.2185656162735709,-0.2425350121025755,2.098477893210921,126.48465812998307,3.590924419706362,0.2656073415235293,0.1755134661725217,-0.2881282743465971,0.0440110019598393,0.0430521501010492,0.0455932622440215,-10.5652801501378,-17.66621743002899,7.100937279891181,0.2103103855654602,143.64,169.95,170.31,244.81,143.64,137.96,1,1,0.8266563552516812,0.5425515700570909,0.4806982729145813,0.6407301598492997,Budameru,0.93973917,0.7902346637697883,RED
Budameru_Krishna_0025,Budameru_Krishna,overtopping,Krishna,16.62384841903171,80.55325917767948,200.0,0.3425885987156398,0.2583772371490379,-0.2738721621897316,2.9359984531348187,166.99376419973896,3.117179458391725,0.3103117283171167,0.1870518030400837,-0.3184979841916767,0.0322768703985231,0.071325434108954,0.0446258220019451,-10.277084565552908,-16.793535343158688,6.516450777605779,0.1855973532128816,143.64,169.95,170.31,245.23,143.64,138.33999999999995,1,1,0.8198468546819576,0.6215643928965984,0.4384879018456974,0.6551082548480168,Budameru,0.93973917,0.7974237112691469,RED
Budameru_Krishna_0026,Budameru_Krishna,overtopping,Krishna,16.622497441326505,80.55202240989942,200.0,0.3797781777588413,0.2869620337908447,-0.3117845614656971,2.2101701469450887,133.6221964423821,3.495523251965833,0.2763376983669034,0.2063243814107945,-0.283683707780079,0.1034404793919379,0.0806376523800502,-0.0281008536856181,-10.24877352845027,-16.744503525026975,6.495729996576704,0.1967906856848255,143.64,169.95,170.31,245.72,143.64,138.76999999999998,1,1,0.803800949860868,0.6574126970239056,0.4479907071269946,0.6636125006844629,Budameru,0.93973917,0.80167583418737,RED
Budameru_Krishna_0027,Budameru_Krishna,overtopping,Krishna,16.621059126168916,80.5508890620221,200.0,0.3576322720756958,0.2756436718931558,-0.2915445015749547,2.019339554223275,156.0815162210511,3.6153061571536806,0.2688888570670842,0.1610919470150103,-0.2820185449210579,0.0887434150086116,0.1145517248781455,-0.0095259566538968,-10.133567927633177,-16.748110280472893,6.614542352839719,0.1941144882397165,143.64,169.95,170.31,246.02,143.64,139.02,1,1,0.8079476454632327,0.6779595706475099,0.4656612963737636,0.6768802320053625,Budameru,0.93973917,0.8083096998478199,RED
Budameru_Krishna_0028,Budameru_Krishna,overtopping,Krishna,16.619576866231913,80.5498393283888,200.0,0.3491575330755296,0.2629359582704586,-0.283533995587284,2.5575918762088974,185.6146034816248,3.1996962203939723,0.3294647917448967,0.208119739926181,-0.32991801089059,0.0196927413306328,0.0548162183442775,0.046384015303306,-10.3150108575259,-17.17769233395226,6.86268147642635,0.178625134264232,143.64,169.95,170.31,246.37,143.64,139.35000000000002,1,1,0.8184567825649567,0.604224025154873,0.4474353246426609,0.6507199529908534,Budameru,0.93973917,0.7952295603405652,RED
Budameru_Krishna_0029,Budameru_Krishna,overtopping,Krishna,16.617926283860292,80.5494614539526,200.0,0.4099227069556174,0.2796863447221845,-0.3403097537542981,2.824749746119251,165.7974756999855,3.1311094292317674,0.3944867331986235,0.2423259605917509,-0.3715440269589332,0.0154359737569939,0.0373603841304335,0.031234273204635,-10.10925502119597,-16.682985704980016,6.573730683784048,0.1719545464309495,143.64,169.95,170.31,246.6,143.64,139.53,1,1,0.8127258794511127,0.6133402963176368,0.4447393089933558,0.650944282739957,Budameru,0.93973917,0.795341725215117,RED
Budameru_Krishna_0030,Budameru_Krishna,overtopping,Krishna,16.61613246249985,80.54969521687045,200.0,0.3818874566763583,0.2600312525755445,-0.3308027466567436,2.0761384511263663,125.65894808082764,3.5572273194905377,0.2924086915199723,0.2556960923363783,-0.2848358942332228,0.089478765156386,0.0043351602391661,-0.0459668524235207,-9.878352994057533,-16.291017954092062,6.412664960034532,0.1366535661362025,143.64,169.95,170.31,246.76,143.64,139.61,1,1,0.7831747767148032,0.5730622020664687,0.4588973997632618,0.6285660313500008,Budameru,0.93973917,0.7841525995201389,RED
Budameru_Krishna_0031,Budameru_Krishna,overtopping,Krishna,16.61433864046187,80.54992897501513,200.0,0.3369173268014336,0.2581391123556192,-0.2880591401407524,2.0819640440750047,127.90421418905856,3.5775346736138847,0.2888684531115751,0.2505159807398934,-0.3030600064237844,0.0480488736898585,0.0076231316157257,0.0150008662830319,-10.918485160519356,-17.268754614724738,6.350269454205381,0.220456205163452,143.64,169.95,170.31,246.97,143.64,139.7,1,1,0.8213492334009709,0.555745760733035,0.4771857039546804,0.6423471356056206,Budameru,0.93973917,0.7910431516479488,RED
Budameru_Krishna_0032,Budameru_Krishna,overtopping,Krishna,16.612544817746496,80.55016272838748,200.0,0.3507674076931275,0.2391342877854967,-0.2914596513790829,1.96080610864102,144.1568722211482,3.548478468344947,0.3058397115766096,0.2116620762889001,-0.3219319809687435,0.0449276961165178,0.0274722114965965,0.0304723295896606,-11.24532713367114,-17.37359779250619,6.128270658835033,0.2561216599364206,143.64,169.95,170.31,247.25,143.64,139.81,1,1,0.834856805202648,0.5545671340298405,0.47260034138620244,0.6461913043380539,Budameru,0.93973917,0.7929652360141655,RED
Budameru_Krishna_0033,Budameru_Krishna,overtopping,Krishna,16.61075099435384,80.55039647698824,200.0,0.2765888741363573,0.1964786122401608,-0.2333088922973494,2.281837968561064,152.8287787182588,3.333786543050017,0.2905468264299807,0.176549963710598,-0.3191744769069903,-0.0139579522936233,0.0199286485295627,0.0858655846096408,-10.699405956091992,-17.767211670876417,7.067805714784429,0.1848549946294307,143.64,169.95,170.31,247.46,143.64,139.91000000000005,1,1,0.8304327111944789,0.5013687956578794,0.47264312941891096,0.6258129453127771,Budameru,0.93973917,0.7827760565015272,RED
