segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,label,pre_NDVI,pre_LSWI,pre_NDWI,pre_slope,pre_aspect,pre_TWI,pre_rain_3d_mm,pre_rain_30d_mm,base_NDVI,base_LSWI,base_NDWI,base_slope,base_aspect,base_TWI,base_rain_3d_mm,base_rain_30d_mm
Budameru_Krishna_0022,Budameru_Krishna,overtopping,Krishna,16.62651111984296,80.55809414590647,1,0.24804551987901888,0.17168064599893795,-0.18831261579679032,2.3623398598017884,145.80966884215619,3.452362319701617,,,0.18436718459840842,0.11320723984075641,-0.22746181112327576,2.3623398598017884,145.80966884215619,3.452362319701617,,
Budameru_Krishna_0023,Budameru_Krishna,overtopping,Krishna,16.625768410127932,80.55638447957764,1,0.24952093977142764,0.18150117700401522,-0.19448004326132232,1.9942953831278705,162.73449359439212,3.6213041461836624,,,0.1770780450383037,0.12184584891110664,-0.21972924462867857,1.9942953831278705,162.73449359439212,3.6213041461836624,,
Budameru_Krishna_0024,Budameru_Krishna,overtopping,Krishna,16.62494336098033,80.55472361081476,1,0.30961834348336864,0.2185656162735709,-0.24253501210257555,2.098477893210921,126.48465812998307,3.590924419706362,,,0.2656073415235293,0.1755134661725217,-0.2881282743465971,2.098477893210921,126.48465812998307,3.590924419706362,,
Budameru_Krishna_0025,Budameru_Krishna,overtopping,Krishna,16.62384841903171,80.55325917767948,1,0.34258859871563985,0.2583772371490379,-0.2738721621897316,2.9359984531348187,166.99376419973896,3.117179458391725,,,0.31031172831711673,0.18705180304008379,-0.31849798419167674,2.9359984531348187,166.99376419973896,3.117179458391725,,
Budameru_Krishna_0026,Budameru_Krishna,overtopping,Krishna,16.622497441326505,80.55202240989942,1,0.3797781777588413,0.28696203379084473,-0.3117845614656971,2.2101701469450887,133.6221964423821,3.4955232519658335,,,0.2763376983669034,0.2063243814107945,-0.283683707780079,2.2101701469450887,133.6221964423821,3.4955232519658335,,
Budameru_Krishna_0027,Budameru_Krishna,overtopping,Krishna,16.621059126168916,80.5508890620221,1,0.35763227207569587,0.2756436718931558,-0.2915445015749547,2.019339554223275,156.0815162210511,3.6153061571536806,,,0.2688888570670842,0.1610919470150103,-0.2820185449210579,2.019339554223275,156.0815162210511,3.6153061571536806,,
Budameru_Krishna_0028,Budameru_Krishna,overtopping,Krishna,16.619576866231913,80.5498393283888,1,0.3491575330755296,0.2629359582704586,-0.283533995587284,2.5575918762088974,185.61460348162478,3.1996962203939723,51.23769938935041,107.89159860858177,0.32946479174489673,0.20811973992618105,-0.32991801089059003,2.5575918762088974,185.61460348162478,3.1996962203939723,0.9864843132163514,25.972208831451127
Budameru_Krishna_0029,Budameru_Krishna,overtopping,Krishna,16.617926283860292,80.5494614539526,1,0.4099227069556174,0.2796863447221845,-0.34030975375429817,2.824749746119251,165.7974756999855,3.1311094292317674,,,0.3944867331986235,0.24232596059175096,-0.3715440269589332,2.824749746119251,165.7974756999855,3.1311094292317674,,
Budameru_Krishna_0030,Budameru_Krishna,overtopping,Krishna,16.61613246249985,80.54969521687045,1,0.38188745667635837,0.2600312525755445,-0.3308027466567436,2.0761384511263663,125.65894808082764,3.5572273194905377,,,0.29240869151997234,0.25569609233637836,-0.28483589423322286,2.0761384511263663,125.65894808082764,3.5572273194905377,,
Budameru_Krishna_0031,Budameru_Krishna,overtopping,Krishna,16.61433864046187,80.54992897501513,1,0.33691732680143366,0.2581391123556192,-0.28805914014075246,2.0819640440750047,127.90421418905855,3.5775346736138847,,,0.2888684531115751,0.25051598073989345,-0.3030600064237844,2.0819640440750047,127.90421418905855,3.5775346736138847,,
Budameru_Krishna_0032,Budameru_Krishna,overtopping,Krishna,16.612544817746496,80.55016272838748,1,0.3507674076931275,0.23913428778549672,-0.2914596513790829,1.96080610864102,144.1568722211482,3.548478468344947,,,0.30583971157660966,0.21166207628890013,-0.32193198096874354,1.96080610864102,144.1568722211482,3.548478468344947,,
Budameru_Krishna_0033,Budameru_Krishna,overtopping,Krishna,16.61075099435384,80.55039647698824,1,0.2765888741363573,0.1964786122401608,-0.23330889229734947,2.281837968561064,152.8287787182588,3.333786543050017,,,0.2905468264299807,0.17654996371059803,-0.31917447690699036,2.281837968561064,152.8287787182588,3.333786543050017,,
Budameru_Krishna_0034,Budameru_Krishna,overtopping,Krishna,16.608967651223814,80.55035814413327,1,0.22771069940443722,0.1600604969204396,-0.16755283610191704,2.058934442080835,181.8997776058789,3.4050846786815843,51.23769938935041,107.89159860858177,0.4731537159871137,0.22320999108723308,-0.4625259239525411,2.058934442080835,181.8997776058789,3.4050846786815843,0.9864843132163514,25.972208831451127
Budameru_Krishna_0035,Budameru_Krishna,overtopping,Krishna,16.60733784174535,80.54969800067101,1,0.1829871469076428,0.14667063787846946,-0.12776355426592523,1.6135924207269912,117.00507540603245,3.824058999759453,,,0.5429386487352461,0.2454749529045881,-0.5150747200652611,1.6135924207269912,117.00507540603245,3.824058999759453,,
Budameru_Krishna_0036,Budameru_Krishna,overtopping,Krishna,16.60619232926877,80.54836700703255,1,0.19543488020947675,0.18122986981295378,-0.145191190367767,1.8183663605606568,171.37994200096662,3.6754174072610017,,,0.5554210428736279,0.2593756276756476,-0.514441160990649,1.8183663605606568,171.37994200096662,3.6754174072610017,,
Budameru_Krishna_0037,Budameru_Krishna,overtopping,Krishna,16.605434309104712,80.54668867154622,1,0.2236294415314024,0.21033876543540703,-0.17631763318073318,1.9558133913463864,152.2289098380469,3.600540881857824,,,0.47350518465401514,0.2695565826665099,-0.4410075447825647,1.9558133913463864,152.2289098380469,3.600540881857824,,
Budameru_Krishna_0038,Budameru_Krishna,overtopping,Krishna,16.60453269595913,80.54508941147901,1,0.1649677644321345,0.17223827132127056,-0.11707868850664516,2.3817786370227156,148.9285645239245,3.5428782700924457,,,0.2539654636935396,0.30586923303993807,-0.2383834210140715,2.3817786370227156,148.9285645239245,3.5428782700924457,,
Budameru_Krishna_0039,Budameru_Krishna,overtopping,Krishna,16.603418365065664,80.54361362980387,1,0.13359098624576593,0.1714672762629801,-0.09737067415827062,3.6448214199410365,165.57092455657047,2.9239831451346574,,,0.23345578366024144,0.29776756455233294,-0.2330455074096166,3.6448214199410365,165.57092455657047,2.9239831451346574,,
Budameru_Krishna_0040,Budameru_Krishna,overtopping,Krishna,16.60209058252539,80.54239749557081,1,0.15451263565673634,0.17693493184901707,-0.11693601787570157,3.2097195357833663,172.70212765957444,3.0096510564385355,,,0.39231950853201636,0.21625561907193913,-0.3736401618817172,3.2097195357833663,172.70212765957444,3.0096510564385355,,
Budameru_Krishna_0041,Budameru_Krishna,overtopping,Krishna,16.60053015329877,80.54147614190175,1,0.21166718564810572,0.18310914942506903,-0.17689240759191938,2.5038669760247485,167.0211716937355,3.3449690668654517,,,0.3296438652017129,0.18124594955999745,-0.3129055404914522,2.5038669760247485,167.0211716937355,3.3449690668654517,,
