segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,seg_length_m,pre_NDVI,pre_LSWI,pre_NDWI,pre_slope,pre_aspect,pre_TWI,base_NDVI,base_LSWI,base_NDWI,NDVI_anomaly,LSWI_anomaly,NDWI_anomaly,S1_VV,S1_VH,S1_ratio,S1_flood_proxy,rain_1d,rain_3d,rain_7d,rain_30d,rain_1d_anom,rain_30d_anom,canal_type_encoded,label
Budameru_Krishna_0038,Budameru_Krishna,overtopping,Krishna,16.60453269595913,80.54508941147901,200.0,0.1649677644321345,0.17223827132127056,-0.11707868850664516,2.3817786370227156,148.9285645239245,3.5428782700924457,0.2539654636935396,0.30586923303993807,-0.2383834210140715,-0.0889976992614051,-0.1336309617186675,0.12130473250742635,-9.550776327892564,-16.007495544738674,6.456719216846112,0.13926307874100335,143.64,169.95,170.31,248.87,143.64,141.25,1,1
Budameru_Krishna_0039,Budameru_Krishna,overtopping,Krishna,16.603418365065664,80.54361362980387,200.0,0.13359098624576593,0.1714672762629801,-0.09737067415827062,3.6448214199410365,165.57092455657047,2.9239831451346574,0.23345578366024144,0.29776756455233294,-0.2330455074096166,-0.09986479741447551,-0.12630028828935283,0.135674833251346,-9.341019627604439,-16.101881791207862,6.760862163603421,0.09869834178194005,143.64,169.95,170.31,249.16,143.64,141.54,1,1
Budameru_Krishna_0040,Budameru_Krishna,overtopping,Krishna,16.60209058252539,80.54239749557081,200.0,0.15451263565673634,0.17693493184901707,-0.11693601787570157,3.2097195357833663,172.70212765957444,3.0096510564385355,0.39231950853201636,0.21625561907193913,-0.3736401618817172,-0.23780687287528002,-0.03932068722292206,0.25670414400601566,-9.20418429392818,-15.436224372661727,6.232040078733549,0.11563909774436086,143.64,169.95,170.31,249.55,143.64,141.86,1,1
Budameru_Krishna_0041,Budameru_Krishna,overtopping,Krishna,16.60053015329877,80.54147614190175,200.0,0.21166718564810572,0.18310914942506903,-0.17689240759191938,2.5038669760247485,167.0211716937355,3.3449690668654517,0.3296438652017129,0.18124594955999745,-0.3129055404914522,-0.11797667955360719,0.0018631998650715798,0.13601313289953282,-6.949049565611948,-13.910768658491076,6.961719092879128,0.03509977874680472,143.64,169.95,170.31,249.98,143.64,142.24,1,1
Budameru_Krishna_0042,Budameru_Krishna,overtopping,Krishna,16.599067947835696,80.54040355401456,200.0,0.20973194278161478,0.17158381865446176,-0.1685662183869527,3.956200145032633,150.61169929900896,3.0600858205275494,0.25853038355366575,0.16072551895385076,-0.23907242877783716,-0.04879844077205098,0.010858299700611002,0.07050621039088445,-8.077598015840971,-14.145025655256084,6.0674276394151185,0.04314955218110354,143.64,169.95,170.31,250.15,143.64,142.41000000000003,1,1
Budameru_Krishna_0043,Budameru_Krishna,overtopping,Krishna,16.59783624535879,80.539038037238,200.0,0.16012595812865388,0.13008339170701125,-0.13731023403049789,5.495892132225015,146.31533926155038,2.604778629545586,0.13190860753145428,0.13418381076282374,-0.12693042634948878,0.028217350597199597,-0.0041004190558124876,-0.010379807681009101,-7.136930240155921,-13.697204159291964,6.560273919136052,0.0547798066595059,143.64,169.95,170.31,250.39,143.64,142.67,1,1
Budameru_Krishna_0044,Budameru_Krishna,overtopping,Krishna,16.59669495354362,80.53758394470591,200.0,0.17727915275023748,0.11370788973091038,-0.16303866118518998,4.1935608624190275,136.48583583099673,2.868081658200131,0.12162897186795288,0.11037514896245063,-0.12546969611544434,0.0556501808822846,0.003332740768459755,-0.037568965069745636,-7.19212763660574,-13.916046149534862,6.72391851292912,0.10087879504093164,143.64,169.95,170.31,250.63,143.64,142.93,1,1
Budameru_Krishna_0045,Budameru_Krishna,overtopping,Krishna,16.59555386030876,80.53612966832206,200.0,0.2713857607195529,0.15186562585547048,-0.2447916205091494,3.2807467234124856,146.8011800551336,3.0360338892505627,0.25304931151229954,0.15247971866204915,-0.25125444296416877,0.018336449207253358,-0.0006140928065786755,0.0064628224550193625,-8.734249401703533,-14.778040353256719,6.043790951553191,0.14725218063850817,143.64,169.95,170.31,250.9,143.64,143.21,1,1
Budameru_Krishna_0046,Budameru_Krishna,overtopping,Krishna,16.594412757216144,80.53467540918999,200.0,0.37761127383264403,0.24134843821382815,-0.3269076460083535,4.1580169286577995,157.33557436517535,2.7300607126384406,0.3831393904815786,0.2513392158050617,-0.3564934609133723,-0.005528116648934545,-0.00999077759123354,0.029585814905018826,-9.674279651761958,-16.349559714019364,6.675280062257406,0.1972805189783687,143.64,169.95,170.31,251.12,143.64,143.46,1,1
Budameru_Krishna_0047,Budameru_Krishna,overtopping,Krishna,16.593352274358327,80.53316207730653,200.0,0.3635987290777097,0.23359521393602223,-0.3119391547616301,3.15201314708299,174.43955725264632,3.1223703386051294,0.3305542948585896,0.22214311162682823,-0.3149259888175506,0.03304443421912007,0.011452102309193996,0.0029868340559204842,-7.175558593730713,-14.734886039978088,7.559327446247364,0.07116764794361598,143.64,169.95,170.31,251.35,143.64,143.7,1,1
