segment_id,study_area,failure_mode,district,centroid_lat,centroid_lon,seg_length_m,canal_type,label,canal_type_encoded,pre_NDVI,pre_LSWI,pre_NDWI,base_NDVI,base_LSWI,base_NDWI,NDVI_anomaly,LSWI_anomaly,NDWI_anomaly,S1_VV,S1_VH,S1_ratio,S1_flood_proxy,S1_SMI,slope,aspect,TWI,smap_sm_mean,smap_sm_max,smap_sm_anom,era5_sm_l1,era5_sm_l2,era5_sm_l3,sm_days_above_fc,sm_l2_anom,clay_pct,encroachment_pct,rain_1d,rain_3d,rain_7d,rain_30d,rain_1d_anom,rain_30d_anom
Rayalacheruvu_Tirupati_0036,Rayalacheruvu_Tirupati,piping_saturation,Tirupati,13.454961321946241,79.88000001277976,200.0,piping_saturation,1,3,0.642858217723582,0.2972022710981325,-0.5289559528802905,0.68664236384877,0.2839839610512157,-0.5787289006960143,-0.043784146125187995,0.013218310046916815,0.049772947815723834,-8.2645236031358,-14.767215983938398,6.50269238080259,0.0,0.97354763968642,13.152774370799191,159.20281607221705,1.5803136621718032,0.3972800033695904,0.4631441178881093,0.043846804713025544,0.3205236846971664,0.2964190299255781,0.22120403770664826,19.381889763779526,-0.02746654968283957,26.317002562333684,0.0,0.23,2.01,8.73,439.474110982399,0.23,162.40643431967266
Rayalacheruvu_Tirupati_0037,Rayalacheruvu_Tirupati,piping_saturation,Tirupati,13.45315317159927,79.880000015267,200.0,piping_saturation,1,3,0.6393713934680162,0.3046601649995413,-0.5249404037853537,0.6352863008062778,0.27905609216553257,-0.5273710069049969,0.004085092661738399,0.02560407283400873,0.002430603119643271,-7.98550124210473,-14.378730033944928,6.393228791840207,0.0,1.0,14.36132103248601,119.70610462263221,1.5054174805491212,0.3973130060672176,0.46319384914862777,0.04382174255068766,0.3204118399443449,0.29627815465573915,0.22103358989291727,19.368000000000006,-0.02753079018769433,26.301583244280334,0.0,0.23,2.01,8.73,439.25362980999137,0.23,162.3452865789888
Rayalacheruvu_Tirupati_0038,Rayalacheruvu_Tirupati,piping_saturation,Tirupati,13.451345020997904,79.88000001664574,200.0,piping_saturation,1,3,0.6429260296878558,0.292683796211474,-0.5483078389386634,0.5957921815505227,0.2513964241769827,-0.5041504254825225,0.04713384813733312,0.04128737203449129,-0.04415741345614088,-9.192868330908658,-15.792287569510231,6.599419238601583,0.0,0.8807131669091343,13.864662022956928,248.38977729814573,1.4674900888326956,0.39732585700003653,0.46324224466223707,0.043824401166704,0.32030339525196905,0.29615047250174115,0.22088040551149424,19.35390946502058,-0.02761667091987091,26.28806507049713,0.0,0.23,2.01,8.73,438.85353273391564,0.23,162.18038370266777
Rayalacheruvu_Tirupati_0039,Rayalacheruvu_Tirupati,piping_saturation,Tirupati,13.449536870142172,79.88000001691596,200.0,piping_saturation,1,3,0.6831814231417017,0.3258594914206288,-0.5608821803112458,0.6873035195435694,0.3023466107469958,-0.5715661260972703,-0.00412209640186767,0.023512880673632996,0.010683945786024496,-8.01956139821776,-14.666137606407853,6.646576208190094,0.0,0.998043860178224,13.11588088112643,216.2626208114605,1.5385900936488655,0.3973500017655815,0.46328246389199934,0.04379648411580367,0.32003543377986493,0.295789310589231,0.22045162946504443,19.317269076305216,-0.02786168317328097,26.286317034335966,0.0,0.23,2.01,8.73,438.5032817472044,0.23,162.08609295315222
Rayalacheruvu_Tirupati_0040,Rayalacheruvu_Tirupati,piping_saturation,Tirupati,13.447728719032112,79.88000001607772,200.0,piping_saturation,1,3,0.6743260398973966,0.34215085396595907,-0.5452142983624576,0.6721979466042733,0.3116966839894156,-0.5506590778583793,0.0021280932931232455,0.030454169976543488,0.005444779495921703,-9.102256645396832,-15.1926827695211,6.0904261241242645,0.0,0.8897743354603168,11.497006869479883,276.4320902845927,1.7376119550239308,0.3973822913393287,0.4633330941641229,0.043750812181268195,0.31967950910831533,0.29534989655619925,0.21992061784197273,19.272727272727273,-0.02808103706595516,26.29228736591512,0.0,0.23,2.01,8.73,437.8951890886761,0.23,161.92419545739887
Rayalacheruvu_Tirupati_0041,Rayalacheruvu_Tirupati,piping_saturation,Tirupati,13.445920567667757,79.88000001413101,200.0,piping_saturation,1,3,0.7216906231124463,0.33822276273430085,-0.588850971675686,0.6060791513058957,0.29573214736388614,-0.49746537296101917,0.11561147180655051,0.04249061537041471,-0.09138559871466684,-9.661409595964427,-15.762337664949191,6.100928068984773,0.0,0.8338590404035573,13.23600686779495,248.64096149129264,1.4763597717016337,0.39743498027102,0.4633962851978031,0.04369862691254589,0.31948984407467634,0.2951144666033737,0.21963608420238964,19.249011857707508,-0.028196668994843688,26.301589794761863,0.002073982674471524,0.23,2.01,8.73,437.47128350546745,0.23,161.89227976964378
Rayalacheruvu_Tirupati_0042,Rayalacheruvu_Tirupati,piping_saturation,Tirupati,13.444112416049135,79.88000001107586,200.0,piping_saturation,1,3,0.6482165634987402,0.25945623454618877,-0.5414944114240297,0.5728823124806074,0.2271174086065459,-0.48042115142727415,0.07533425101813285,0.03233882593964288,-0.0610732599967555,-8.88631791816714,-14.858177095675604,5.971859177508464,0.0,0.9113682081832859,7.637870983566344,227.68108903605594,2.1598067569804082,0.3974744700637692,0.4634470483620376,0.04366686837552963,0.3191933072179981,0.29473675893047663,0.21917819809934497,19.21259842519685,-0.028352217550491887,26.320511596537187,0.006252884296138562,0.23,2.01,8.73,437.48858513109144,0.23,161.9294289997618
Rayalacheruvu_Tirupati_0043,Rayalacheruvu_Tirupati,piping_saturation,Tirupati,13.44230426417628,79.88000000691228,200.0,piping_saturation,1,3,0.3866162503223905,0.0858036997118589,-0.39920808691598453,0.287973316359938,0.046832707783210796,-0.2831828405642717,0.0986429339624525,0.038970991928648106,-0.11602524635171285,-9.15326765128319,-16.407649781468642,7.254382130185453,0.0017444015612393979,0.8846732348716809,3.2852796859666347,231.6754170755644,2.9278743053012564,0.3974906169697824,0.46349343555480754,0.04367190785250624,0.3190520853988411,0.29456746122400557,0.21897491248298542,19.194331983805668,-0.028459986819554528,26.346954614891853,0.006753154782601875,0.23,2.01,8.73,437.39683372675194,0.23,161.90596638343214
Rayalacheruvu_Tirupati_0044,Rayalacheruvu_Tirupati,piping_saturation,Tirupati,13.440700094091314,79.88000000229049,154.87502930430492,piping_saturation,1,3,0.2180049133568361,-0.00878076877021032,-0.28171593273419454,0.1794274645797066,0.018461013550426945,-0.1953280775688987,0.038577448777129514,-0.027241782320637266,-0.08638785516529585,-9.775617320526912,-17.13693338059931,7.361316060072403,0.011269509111518004,0.8224382679473088,2.631385249521566,235.8821335688699,3.1751357940767995,0.39751177189259884,0.4635298474076613,0.04367489659742557,0.3188403068092461,0.2943288772285321,0.218684172779299,19.16872427983539,-0.028574629866337353,26.365367794710036,0.010004860204148192,0.23,2.01,8.73,437.19678518871405,0.23,161.82351494527154
control_Krishna_001,control_Krishna,none,Krishna Right Flood Bank,15.794223739123101,80.84481558580396,200.0,control,0,0,0.3881813687036692,0.20106712330242277,-0.37311707149561063,0.32979092411412086,0.20543100998475852,-0.2757430524213533,0.05839044458954834,-0.004363886682335755,-0.09737401907425736,-10.162843284037637,-17.527653045971586,7.364809761933949,0.07665430075058233,0.7837156715962363,1.2448553678897298,96.59202096680251,4.228091835597787,,,0.0,0.17535687492932867,0.22292224574357827,0.2362264701630301,6.0,-0.0390238890307274,37.81316909192775,0.5436021249992115,0.0,0.11,13.2,125.03970966697672,-0.89,-15.16866258992816
